post_id,post_text,user_id,username,image_id,timestamp,label
700025934070546433,Moment of Ankara explosion targeted Turkey army multiple buses https://t.co/oxR7JtMNUZ https://t.co/rO6hnS2r1o,2790057867,lummideast,ankara_explosions_2,Wed Feb 17 18:36:03 +0000 2016,real
700599237776543744,"RT @insanhaklarimiz: ANKARA CAR EXPLOSION KILLED 28, INJURED 61+ ; AKP DAVUTOGLU ERDOGAN RESPONSIBLE- NO ACCOUNTABILITY  https://t.co/6ntCg…",383820312,cumartesiannesi,ankara_explosions_3,Fri Feb 19 08:34:09 +0000 2016,real
700574696484392960,"ANKARA CAR EXPLOSION KILLED 28, INJURED 61+ on Feb 17, 2016 #Turkey https://t.co/6ntCgZzCtJ",197601286,insanhaklarimiz,ankara_explosions_3,Fri Feb 19 06:56:38 +0000 2016,real
700057822537650179,Turkish Military: Ankara explosion a terror attack https://t.co/dEEeaBrPvG #video [ad https://t.co/3w0S6lKmjw ],1228840274,CollectedN,ankara_explosions_3,Wed Feb 17 20:42:45 +0000 2016,real
700052460245659650,【トルコの首都アンカラの中心部で大爆発】\nTurkish Military: Ankara explosion a terror attack https://t.co/BBPJY4EW1M @YouTubeさんから,3889631,hanayuu,ankara_explosions_3,Wed Feb 17 20:21:27 +0000 2016,real
665291435340492800,RT @saserief: “@Conflicts:  French military deployed on the streets of #Paris  large scale terror attack taking place - @lepoint https://t.…,2793020689,goodnewsbitches,attacks_paris_10,Fri Nov 13 22:13:33 +0000 2015,real
665287789613830148,RT_com: BREAKING: FRANCE24 reports at least 60 hostages at #Paris concert hall #Bataclan https://t.co/Uu6lyvQ4Gc https://t.co/zQD4DZ1GXv,23077431,ComputerArea,attacks_paris_12,Fri Nov 13 21:59:04 +0000 2015,real
665287666729132032,BREAKING: FRANCE24 reports at least 60 hostages at #Paris concert hall #Bataclan https://t.co/XVlMOBoTWK https://t.co/oANRaj7vvi,3444260669,tweepwhiz,attacks_paris_12,Fri Nov 13 21:58:34 +0000 2015,real
665292159940071424,RT @Reuters: LIVE VIDEO: #Paris under attack. https://t.co/xsdu8nohIu https://t.co/nI396xpAUZ,94205691,supermarianix,attacks_paris_13,Fri Nov 13 22:16:26 +0000 2015,real
665291848370360320,RT: @reuters :LIVE VIDEO: #Paris under attack. https://t.co/xH5itFKxjp https://t.co/EE0PaV2kuv,6529402,notiven,attacks_paris_13,Fri Nov 13 22:15:11 +0000 2015,real
665291575350685696,Reuters: LIVE VIDEO: #Paris under attack. https://t.co/zGBEzt49Pb https://t.co/7y67p479Th,23077431,ComputerArea,attacks_paris_13,Fri Nov 13 22:14:06 +0000 2015,real
665291528961589248,Reuters: LIVE VIDEO: #Paris under attack.  https://t.co/HVlgVoyED6:    Reuters Top News        ✔ ... https://t.co/KzSlnHkN9w #SriLanka,2866996208,BreaknNews,attacks_paris_13,Fri Nov 13 22:13:55 +0000 2015,real
